index,value_raw,value_centered
1010,7501,7501
1011,7523,7523
1012,7523,7523
1013,7547,7547
1014,7570,7570
1015,7565,7565
1016,7575,7575
1017,7575,7575
1018,7557,7557
1019,7527,7527
1020,7512,7512
1021,7452,7452
1022,7452,7452
1023,7394,7394
1024,7336,7336
1025,7258,7258
1026,7205,7205
1027,7205,7205
1028,7111,7111
1029,6982,6982
1030,6917,6917
1031,6786,6786
1032,6786,6786
1033,6681,6681
1034,6540,6540
1035,6395,6395
1036,6284,6284
1037,6284,6284
1038,6127,6127
1039,5964,5964
1040,5822,5822
1041,5631,5631
1042,5631,5631
1043,5483,5483
1044,5307,5307
1045,5122,5122
1046,4968,4968
1047,4968,4968
1048,4755,4755
1049,4580,4580
1050,4405,4405
1051,4207,4207
1052,4207,4207
1053,4031,4031
1054,3822,3822
1055,3621,3621
1056,3450,3450
1057,3450,3450
1058,3252,3252
1059,3052,3052
1060,2876,2876
1061,2676,2676
1062,2676,2676
1063,2515,2515
1064,2326,2326
1065,2150,2150
1066,1983,1983
1067,1983,1983
1068,1805,1805
1069,1657,1657
1070,1504,1504
1071,1338,1338
1072,1338,1338
1073,1207,1207
1074,1064,1064
1075,932,932
1076,812,812
1077,812,812
1078,690,690
1079,596,596
1080,478,478
1081,394,394
1082,394,394
1083,324,324
1084,272,272
1085,199,199
1086,130,130
1087,130,130
1088,80,80
1089,46,46
1090,-9,-9
1091,-6,-6
1092,-6,-6
1093,-13,-13
1094,-20,-20
1095,5,5
1096,50,50
1097,50,50
1098,81,81
1099,134,134
1100,180,180
1101,249,249
1102,249,249
1103,334,334
1104,400,400
1105,507,507
1106,611,611
1107,611,611
1108,708,708
1109,845,845
1110,950,950
1111,1076,1076
1112,1076,1076
1113,1227,1227
1114,1343,1343
1115,1516,1516
1116,1676,1676
1117,1676,1676
1118,1834,1834
1119,2007,2007
1120,2161,2161
1121,2336,2336
1122,2336,2336
1123,2531,2531
1124,2686,2686
1125,2884,2884
1126,3069,3069
1127,3069,3069
1128,3264,3264
1129,3470,3470
1130,3629,3629
1131,3832,3832
1132,3832,3832
1133,4031,4031
1134,4202,4202
1135,4417,4417
1136,4597,4597
1137,4605,4605
1138,4779,4779
1139,4976,4976
1140,5143,5143
1141,5315,5315
1142,5315,5315
1143,5482,5482
1144,5650,5650
1145,5821,5821
1146,5983,5983
1147,6015,6015
1148,6136,6136
1149,6286,6286
1150,6415,6415
1151,6551,6551
1152,6551,6551
1153,6689,6689
1154,6796,6796
1155,6911,6911
1156,7012,7012
1157,7012,7012
1158,7115,7115
1159,7200,7200
1160,7276,7276
1161,7351,7351
1162,7351,7351
1163,7402,7402
1164,7466,7466
1165,7503,7503
1166,7520,7520
1167,7520,7520
1168,7555,7555
1169,7559,7559
1170,7581,7581
1171,7577,7577
1172,7577,7577
1173,7548,7548
1174,7541,7541
1175,7488,7488
1176,7438,7438
1177,7438,7438
1178,7398,7398
1179,7325,7325
1180,7276,7276
1181,7196,7196
1182,7196,7196
1183,7080,7080
1184,7007,7007
1185,6883,6883
1186,6767,6767
1187,6767,6767
1188,6657,6657
1189,6523,6523
1190,6406,6406
1191,6260,6260
1192,6260,6260
1193,6109,6109
1194,5973,5973
1195,5789,5789
1196,5623,5623
1197,5623,5623
1198,5458,5458
1199,5278,5278
1200,5129,5129
1201,4944,4944
1202,4944,4944
1203,4752,4752
1204,4573,4573
1205,4376,4376
1206,4185,4185
1207,4185,4185
1208,3990,3990
1209,3795,3795
1210,3623,3623
1211,3427,3427
1212,3427,3427
1213,3225,3225
1214,3048,3048
1215,2856,2856
1216,2673,2673
1217,2673,2673
1218,2495,2495
1219,2314,2314
1220,2145,2145
1221,1967,1967
1222,1967,1967
1223,1804,1804
1224,1642,1642
1225,1482,1482
1226,1343,1343
1227,1343,1343
1228,1191,1191
1229,1064,1064
1230,938,938
1231,807,807
1232,807,807
1233,698,698
1234,577,577
1235,482,482
1236,406,406
1237,406,406
1238,311,311
1239,241,241
1240,164,164
1241,115,115
1242,115,115
1243,80,80
1244,38,38
1245,6,6
1246,-9,-9
1247,-1,-1
1248,-24,-24
1249,-15,-15
1250,-12,-12
1251,3,3
1252,60,60
1253,60,60
1254,105,105
1255,143,143
1256,189,189
1257,288,288
1258,288,288
1259,341,341
1260,431,431
1261,532,532
1262,626,626
1263,626,626
1264,756,756
1265,861,861
1266,992,992
1267,1144,1144
1268,1144,1144
1269,1266,1266
1270,1413,1413
1271,1567,1567
1272,1715,1715
1273,1715,1715
1274,1902,1902
1275,2051,2051
1276,2221,2221
1277,2413,2413
1278,2413,2413
1279,2575,2575
1280,2758,2758
1281,2939,2939
1282,3121,3121
1283,3121,3121
1284,3333,3333
1285,3514,3514
1286,3689,3689
1287,3902,3902
1288,3902,3902
1289,4079,4079
1290,4287,4287
1291,4485,4485
1292,4651,4651
1293,4651,4651
1294,4846,4846
1295,5024,5024
1296,5192,5192
1297,5370,5370
1298,5370,5370
1299,5551,5551
1300,5719,5719
1301,5882,5882
1302,6041,6041
1303,6041,6041
1304,6182,6182
1305,6308,6308
1306,6456,6456
1307,6591,6591
1308,6591,6591
1309,6718,6718
1310,6844,6844
1311,6961,6961
1312,7056,7056
1313,7056,7056
1314,7135,7135
1315,7227,7227
1316,7305,7305
1317,7360,7360
1318,7360,7360
1319,7414,7414
1320,7476,7476
1321,7504,7504
1322,7554,7554
1323,7554,7554
1324,7555,7555
1325,7568,7568
1326,7578,7578
1327,7556,7556
1328,7556,7556
1329,7545,7545
1330,7513,7513
1331,7464,7464
1332,7437,7437
1333,7437,7437
1334,7363,7363
1335,7315,7315
1336,7254,7254
1337,7141,7141
1338,7149,7149
1339,7065,7065
1340,6974,6974
1341,6850,6850
1342,6741,6741
1343,6741,6741
1344,6602,6602
1345,6491,6491
1346,6352,6352
1347,6198,6198
1348,6198,6198
1349,6067,6067
1350,5898,5898
1351,5732,5732
1352,5572,5572
1353,5572,5572
1354,5392,5392
1355,5239,5239
1356,5056,5056
1357,4851,4851
1358,4851,4851
1359,4695,4695
1360,4506,4506
1361,4319,4319
1362,4116,4116
1363,4116,4116
1364,3912,3912
1365,3744,3744
1366,3551,3551
1367,3343,3343
1368,3343,3343
1369,3174,3174
1370,2965,2965
1371,2786,2786
1372,2619,2619
1373,2619,2619
1374,2429,2429
1375,2258,2258
1376,2080,2080
1377,1911,1911
1378,1911,1911
1379,1764,1764
1380,1594,1594
1381,1440,1440
1382,1296,1296
1383,1296,1296
1384,1149,1149
1385,1015,1015
1386,890,890
1387,769,769
1388,769,769
1389,654,654
1390,555,555
1391,453,453
1392,370,370
1393,378,378
1394,287,287
1395,210,210
1396,152,152
1397,110,110
1398,110,110
1399,53,53
1400,20,20
1401,7,7
1402,-20,-20
1403,-20,-20
1404,-24,-24
1405,-18,-18
1406,-21,-21
1407,30,30
1408,24,24
1409,24,24
1410,68,68
1411,109,109
1412,141,141
1413,218,218
1414,218,218
1415,263,263
1416,361,361
1417,463,463
1418,540,540
1419,540,540
1420,650,650
1421,745,745
1422,874,874
1423,1024,1024
1424,1024,1024
1425,1142,1142
1426,1285,1285
1427,1424,1424
1428,1571,1571
1429,1571,1571
1430,1760,1760
1431,1908,1908
1432,2065,2065
1433,2248,2248
1434,2248,2248
1435,2396,2396
1436,2596,2596
1437,2791,2791
1438,2968,2968
1439,2968,2968
1440,3158,3158
1441,3342,3342
1442,3532,3532
1443,3729,3729
1444,3729,3729
1445,3917,3917
1446,4110,4110
1447,4302,4302
1448,4480,4480
1449,4480,4480
1450,4687,4687
1451,4862,4862
1452,5043,5043
1453,5228,5228
1454,5228,5228
1455,5390,5390
1456,5573,5573
1457,5732,5732
1458,5884,5884
1459,5884,5884
1460,6050,6050
1461,6197,6197
1462,6355,6355
1463,6471,6471
1464,6471,6471
1465,6598,6598
1466,6729,6729
1467,6853,6853
1468,6955,6955
1469,6955,6955
1470,7058,7058
1471,7147,7147
1472,7236,7236
1473,7309,7309
1474,7309,7309
1475,7367,7367
1476,7440,7440
1477,7462,7462
1478,7513,7513
1479,7513,7513
1480,7535,7535
1481,7563,7563
1482,7586,7586
1483,7563,7563
1484,7563,7563
1485,7558,7558
1486,7537,7537
1487,7497,7497
1488,7477,7477
1489,7485,7485
1490,7406,7406
1491,7375,7375
1492,7304,7304
1493,7214,7214
1494,7214,7214
1495,7166,7166
1496,7056,7056
1497,6934,6934
1498,6843,6843
1499,6843,6843
1500,6716,6716
1501,6618,6618
1502,6481,6481
1503,6317,6317
1504,6317,6317
1505,6203,6203
1506,6037,6037
1507,5876,5876
1508,5724,5724
1509,5724,5724
1510,5549,5549
1511,5392,5392
1512,5228,5228
1513,5037,5037
1514,5037,5037
1515,4868,4868
1516,4673,4673
1517,4472,4472
1518,4294,4294
1519,4294,4294
1520,4091,4091
1521,3921,3921
1522,3725,3725
1523,3515,3515
1524,3515,3515
1525,3344,3344
1526,3146,3146
1527,2955,2955
1528,2774,2774
1529,2774,2774
1530,2583,2583
1531,2406,2406
1532,2241,2241
1533,2061,2061
1534,2061,2061
1535,1906,1906
1536,1727,1727
1537,1577,1577
1538,1424,1424
1539,1424,1424
1540,1277,1277
1541,1128,1128
1542,996,996
1543,876,876
1544,876,876
1545,754,754
1546,641,641
1547,545,545
1548,447,447
1549,447,447
1550,354,354
1551,276,276
1552,204,204
1553,153,153
1554,153,153
1555,89,89
1556,45,45
1557,30,30
1558,-5,-5
1559,-5,-5
1560,-5,-5
1561,-33,-33
1562,-31,-31
1563,-2,-2
1564,-2,-2
1565,7,7
1566,24,24
1567,76,76
1568,76,76
1569,106,106
1570,143,143
1571,219,219
1572,284,284
1573,284,284
1574,367,367
1575,475,475
1576,559,559
1577,671,671
1578,671,671
1579,785,785
1580,881,881
1581,1042,1042
1582,1160,1160
1583,1160,1160
1584,1294,1294
1585,1469,1469
1586,1612,1612
1587,1784,1784
1588,1784,1784
1589,1935,1935
1590,2088,2088
1591,2286,2286
1592,2460,2460
1593,2460,2460
1594,2634,2634
1595,2828,2828
1596,3001,3001
1597,3199,3199
1598,3199,3199
1599,3381,3381
1600,3560,3560
1601,3775,3775
1602,3952,3952
1603,3960,3960
1604,4152,4152
1605,4346,4346
1606,4519,4519
1607,4716,4716
1608,4716,4716
1609,4893,4893
1610,5066,5066
1611,5259,5259
1612,5418,5418
1613,5418,5418
1614,5588,5588
1615,5760,5760
1616,5920,5920
1617,6111,6111
1618,6111,6111
1619,6244,6244
1620,6390,6390
1621,6508,6508
1622,6636,6636
1623,6636,6636
1624,6761,6761
1625,6874,6874
1626,6976,6976
1627,7077,7077
1628,7077,7077
1629,7168,7168
1630,7253,7253
1631,7320,7320
1632,7396,7396
1633,7396,7396
1634,7460,7460
1635,7486,7486
1636,7526,7526
1637,7542,7542
1638,7542,7542
1639,7559,7559
1640,7581,7581
1641,7561,7561
1642,7565,7565
1643,7565,7565
1644,7550,7550
1645,7494,7494
1646,7461,7461
1647,7404,7404
1648,7404,7404
1649,7344,7344
1650,7301,7301
1651,7198,7198
1652,7111,7111
1653,7111,7111
1654,7037,7037
1655,6908,6908
1656,6819,6819
1657,6688,6688
1658,6688,6688
1659,6565,6565
1660,6450,6450
1661,6289,6289
1662,6163,6163
1663,6163,6163
1664,6005,6005
1665,5835,5835
1666,5685,5685
1667,5503,5503
1668,5503,5503
1669,5349,5349
1670,5188,5188
1671,4983,4983
1672,4819,4819
1673,4819,4819
1674,4626,4626
1675,4426,4426
1676,4260,4260
1677,4052,4052
1678,4060,4060
1679,3864,3864
1680,3685,3685
1681,3465,3465
1682,3293,3293
1683,3293,3293
1684,3097,3097
1685,2902,2902
1686,2742,2742
1687,2546,2546
1688,2546,2546
1689,2369,2369
1690,2196,2196
1691,2004,2004
1692,1850,1850
1693,1850,1850
1694,1692,1692
1695,1532,1532
1696,1396,1396
1697,1232,1232
1698,1232,1232
1699,1109,1109
1700,968,968
1701,847,847
1702,729,729
1703,729,729
1704,611,611
1705,508,508
1706,427,427
1707,329,329
1708,329,329
1709,264,264
1710,176,176
1711,136,136
1712,85,85
1713,85,85
1714,21,21
1715,14,14
1716,-18,-18
1717,-35,-35
1718,-3,-3
1719,-29,-29
1720,-34,-34
1721,5,5
1722,18,18
1723,18,18
1724,80,80
1725,114,114
1726,172,172
1727,244,244
1728,244,244
1729,294,294
1730,402,402
1731,489,489
1732,574,574
1733,574,574
1734,707,707
1735,806,806
1736,931,931
1737,1049,1049
1738,1049,1049
1739,1162,1162
1740,1336,1336
1741,1483,1483
1742,1633,1633
